Date,Vol State,Hmm state,True State,Adj CLose,Collective State,XOR,New State
1989-03-21,1,1.0,1.0,165.5599975585938,,State change,1.0
1989-03-22,1,1.0,1.0,165.1300048828125,,,1.0
1989-03-23,1,1.0,1.0,164.4799957275391,,,1.0
1989-03-27,1,1.0,1.0,165.1199951171875,,,1.0
1989-03-28,1,1.0,1.0,165.7200012207031,,,1.0
1989-03-29,1,1.0,1.0,166.1399993896484,,,1.0
1989-03-30,1,1.0,1.0,166.3200073242188,,,1.0
1989-03-31,1,1.0,1.0,167.6199951171875,,,1.0
1989-04-03,1,1.0,1.0,168.4499969482422,,,1.0
1989-04-04,1,1.0,1.0,167.9499969482422,,,1.0
1989-04-05,1,1.0,1.0,168.4799957275391,,,1.0
1989-04-06,1,1.0,1.0,168.0800018310547,,,1.0
1989-04-07,1,1.0,1.0,169.0599975585938,,,1.0
1989-04-10,1,1.0,1.0,169.0599975585938,,,1.0
1989-04-11,1,1.0,1.0,169.8000030517578,,,1.0
1989-04-12,1,1.0,1.0,170.1600036621094,,,1.0
1989-04-13,1,1.0,1.0,168.8699951171875,,,1.0
1989-04-14,1,1.0,1.0,171.2200012207031,,,1.0
1989-04-17,1,1.0,1.0,171.3999938964844,,,1.0
1989-04-18,1,1.0,1.0,173.4400024414062,,,1.0
1989-04-19,1,1.0,1.0,174.0599975585938,,,1.0
1989-04-20,1,1.0,1.0,173.6799926757812,,,1.0
1989-04-21,1,1.0,1.0,175.2400054931641,,,1.0
1989-04-24,1,1.0,1.0,174.8500061035156,,,1.0
1989-04-25,1,1.0,1.0,174.0399932861328,,,1.0
1989-04-26,1,1.0,1.0,174.2299957275391,,,1.0
1989-04-27,1,1.0,1.0,175.5599975585938,,,1.0
1989-04-28,1,1.0,1.0,175.7299957275391,,,1.0
1989-05-01,1,1.0,1.0,175.5,,,1.0
1989-05-02,1,1.0,1.0,175.1300048828125,,,1.0
1989-05-03,1,1.0,1.0,175.2200012207031,,,1.0
1989-05-04,1,1.0,1.0,175.1100006103516,,,1.0
1989-05-05,1,1.0,1.0,175.1600036621094,,,1.0
1989-05-08,1,1.0,1.0,174.3099975585938,,,1.0
1989-05-09,1,1.0,1.0,173.9100036621094,,,1.0
1989-05-10,1,1.0,1.0,174.2299957275391,,,1.0
1989-05-11,1,1.0,1.0,174.8200073242188,,,1.0
1989-05-12,1,1.0,1.0,178.1699981689453,,,1.0
1989-05-15,1,1.0,1.0,179.3300018310547,,,1.0
1989-05-16,1,1.0,1.0,179.0099945068359,,,1.0
1989-05-17,1,1.0,1.0,180.2299957275391,,,1.0
1989-05-18,1,1.0,1.0,180.6100006103516,,,1.0
1989-05-19,1,1.0,1.0,182.1999969482422,,,1.0
1989-05-22,1,1.0,1.0,182.6000061035156,,,1.0
1989-05-23,1,1.0,1.0,180.9199981689453,,,1.0
1989-05-24,1,1.0,1.0,181.3200073242188,,,1.0
1989-05-25,1,1.0,1.0,181.4700012207031,,,1.0
